Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,11426.3798828125,11617.2802734375,11414.8203125,11598.330078125,11598.330078125,47456100
2017-01-03,11631.7001953125,11637.3701171875,11561.23046875,11584.240234375,11584.240234375,88413500
2017-01-04,11609.5302734375,11616.08984375,11531.4296875,11584.3095703125,11584.3095703125,82173600
2017-01-05,11537.73046875,11602.5400390625,11537.400390625,11584.9404296875,11584.9404296875,74924900
2017-01-06,11560.51953125,11605.740234375,11547.0498046875,11599.009765625,11599.009765625,67084900
2017-01-09,11606.8896484375,11606.8896484375,11522.349609375,11563.990234375,11563.990234375,78728200
2017-01-10,11583.240234375,11606.9501953125,11544.990234375,11583.2998046875,11583.2998046875,86076700
2017-01-11,11587.5302734375,11692.26953125,11524.990234375,11646.169921875,11646.169921875,98191900
2017-01-12,11599.240234375,11606.4296875,11491.8701171875,11521.0400390625,11521.0400390625,98548200
2017-01-13,11576.7802734375,11635.5498046875,11554.4501953125,11629.1796875,11629.1796875,80130600
2017-01-16,11537.4501953125,11579.0498046875,11535.9599609375,11554.7099609375,11554.7099609375,61105200
2017-01-17,11521.5,11583.4296875,11425.1396484375,11540.0,11540.0,84637400
2017-01-18,11592.1201171875,11599.3896484375,11529.759765625,11599.3896484375,11599.3896484375,79838900
2017-01-19,11624.1103515625,11644.8798828125,11578.91015625,11596.8896484375,11596.8896484375,89132300
2017-01-20,11568.900390625,11636.7900390625,11547.0400390625,11630.1298828125,11630.1298828125,111382900
2017-01-23,11545.9697265625,11605.2900390625,11508.830078125,11545.75,11545.75,77901600
2017-01-24,11554.7998046875,11596.1796875,11538.0498046875,11594.9404296875,11594.9404296875,79231000
2017-01-25,11677.6298828125,11827.73046875,11669.2998046875,11806.0498046875,11806.0498046875,119515300
2017-01-26,11867.91015625,11893.080078125,11819.759765625,11848.6298828125,11848.6298828125,90690800
2017-01-27,11841.7197265625,11844.6796875,11798.259765625,11814.26953125,11814.26953125,71214800
2017-01-30,11786.3095703125,11792.330078125,11659.349609375,11681.8896484375,11681.8896484375,75301200
2017-01-31,11692.5302734375,11733.16015625,11535.3095703125,11535.3095703125,11535.3095703125,97413600
2017-02-01,11646.419921875,11723.3896484375,11622.599609375,11659.5,11659.5,94496600
2017-02-02,11628.2802734375,11675.98046875,11603.650390625,11627.9501953125,11627.9501953125,97613900
2017-02-03,11636.23046875,11696.9404296875,11627.98046875,11651.490234375,11651.490234375,80185400
2017-02-06,11628.0302734375,11679.91015625,11509.580078125,11509.83984375,11509.83984375,92395100
2017-02-07,11498.490234375,11606.259765625,11483.830078125,11549.4404296875,11549.4404296875,70078100
2017-02-08,11546.9296875,11591.259765625,11479.7802734375,11543.3798828125,11543.3798828125,95316900
2017-02-09,11584.400390625,11657.240234375,11548.1796875,11642.8603515625,11642.8603515625,106780800
2017-02-10,11698.7001953125,11711.5498046875,11645.1298828125,11666.9697265625,11666.9697265625,76846100
2017-02-13,11697.990234375,11812.6904296875,11684.91015625,11774.4296875,11774.4296875,76660400
2017-02-14,11766.990234375,11787.8203125,11752.6796875,11771.8095703125,11771.8095703125,70471800
2017-02-15,11834.48046875,11848.0400390625,11725.3798828125,11793.9296875,11793.9296875,86209800
2017-02-16,11778.990234375,11814.7001953125,11728.3798828125,11757.240234375,11757.240234375,74134300
2017-02-17,11759.5703125,11775.400390625,11693.7001953125,11757.01953125,11757.01953125,89889600
2017-02-20,11831.7099609375,11841.0595703125,11804.7197265625,11827.6201171875,11827.6201171875,54693400
2017-02-21,11817.9697265625,11987.580078125,11798.48046875,11967.490234375,11967.490234375,75495100
2017-02-22,11989.7099609375,12031.1103515625,11966.01953125,11998.58984375,11998.58984375,91868800
2017-02-23,11994.0595703125,12015.98046875,11925.8798828125,11947.830078125,11947.830078125,69772500
2017-02-24,11920.900390625,11934.6396484375,11722.349609375,11804.0302734375,11804.0302734375,98702100
2017-02-27,11858.1396484375,11860.8203125,11792.509765625,11822.669921875,11822.669921875,62847100
2017-02-28,11847.08984375,11853.5,11780.830078125,11834.41015625,11834.41015625,71294600
2017-03-01,11915.0302734375,12074.01953125,11913.83984375,12067.1904296875,12067.1904296875,106268000
2017-03-02,12052.7998046875,12082.58984375,12041.900390625,12059.5703125,12059.5703125,79637900
2017-03-03,11998.0595703125,12058.2099609375,11995.400390625,12027.3603515625,12027.3603515625,100194300
2017-03-06,11956.8095703125,11998.830078125,11921.5703125,11958.400390625,11958.400390625,96192800
2017-03-07,11963.759765625,11988.8701171875,11935.330078125,11966.1396484375,11966.1396484375,76452900
2017-03-08,11922.8603515625,12017.2802734375,11922.3095703125,11967.3095703125,11967.3095703125,96140500
2017-03-09,11923.509765625,12024.7001953125,11917.7802734375,11978.3896484375,11978.3896484375,102964600
2017-03-10,12018.48046875,12067.0703125,11936.8095703125,11963.1796875,11963.1796875,107316000
2017-03-13,11954.7998046875,12006.009765625,11949.0302734375,11990.0302734375,11990.0302734375,75690500
2017-03-14,11987.33984375,12002.75,11930.3798828125,11988.7900390625,11988.7900390625,105152600
2017-03-15,12000.4404296875,12027.0498046875,11977.3203125,12009.8701171875,12009.8701171875,101358200
2017-03-16,12140.2998046875,12156.4404296875,12046.0703125,12083.1796875,12083.1796875,119337500
2017-03-17,12039.240234375,12117.900390625,12018.26953125,12095.240234375,12095.240234375,187435700
2017-03-20,12050.8095703125,12082.3095703125,12033.240234375,12052.900390625,12052.900390625,107350200
2017-03-21,12083.009765625,12111.240234375,11938.419921875,11962.1298828125,11962.1298828125,130893800
2017-03-22,11870.7802734375,11934.349609375,11850.26953125,11904.1201171875,11904.1201171875,106874600
2017-03-23,11914.2001953125,12043.669921875,11896.6796875,12039.6796875,12039.6796875,84715200
2017-03-24,12033.26953125,12082.669921875,12010.330078125,12064.26953125,12064.26953125,92696000
2017-03-27,11957.650390625,11996.349609375,11916.0703125,11996.0703125,11996.0703125,86289200
2017-03-28,12062.6904296875,12158.7197265625,12045.169921875,12149.419921875,12149.419921875,92961200
2017-03-29,12195.8603515625,12233.759765625,12180.830078125,12203.0,12203.0,101247900
2017-03-30,12220.6396484375,12258.3701171875,12200.33984375,12256.4296875,12256.4296875,85850100
2017-03-31,12241.5703125,12313.2900390625,12230.169921875,12312.8701171875,12312.8701171875,109664900
2017-04-03,12368.8203125,12375.580078125,12256.9404296875,12257.2001953125,12257.2001953125,85845700
2017-04-04,12255.7197265625,12288.7802734375,12225.3798828125,12282.33984375,12282.33984375,114566700
2017-04-05,12280.0595703125,12293.1298828125,12212.169921875,12217.5400390625,12217.5400390625,84216400
2017-04-06,12147.3701171875,12242.5,12119.0400390625,12230.8896484375,12230.8896484375,74256200
2017-04-07,12174.509765625,12225.0595703125,12144.98046875,12225.0595703125,12225.0595703125,71891000
2017-04-10,12244.5,12246.8798828125,12178.099609375,12200.51953125,12200.51953125,56772300
